rank,full_name,stargazers_count,clone_url,html_url,language,description
63,barry-ran/QtScrcpy,25739,https://github.com/barry-ran/QtScrcpy.git,https://github.com/barry-ran/QtScrcpy,C++,Android real-time display control software
64,notepad-plus-plus/notepad-plus-plus,25522,https://github.com/notepad-plus-plus/notepad-plus-plus.git,https://github.com/notepad-plus-plus/notepad-plus-plus,C++,Notepad++ official repository
65,argotorg/solidity,25052,https://github.com/argotorg/solidity.git,https://github.com/argotorg/solidity,C++,"Solidity, the Smart Contract Programming Language"
66,changkun/modern-cpp-tutorial,25049,https://github.com/changkun/modern-cpp-tutorial.git,https://github.com/changkun/modern-cpp-tutorial,C++,📚 Modern C++ Tutorial: C++11/14/17/20 On the Fly | https://changkun.de/modern-cpp/
67,microsoft/winget-cli,24697,https://github.com/microsoft/winget-cli.git,https://github.com/microsoft/winget-cli,C++,"WinGet is the Windows Package Manager. This project includes a CLI (Command Line Interface), PowerShell modules, and a COM (Component Object Model) API (Application Programming Interface)."
68,google/flatbuffers,24664,https://github.com/google/flatbuffers.git,https://github.com/google/flatbuffers,C++,FlatBuffers: Memory Efficient Serialization Library
69,v8/v8,24388,https://github.com/v8/v8.git,https://github.com/v8/v8,C++,The official mirror of the V8 Git repository
70,typesense/typesense,24223,https://github.com/typesense/typesense.git,https://github.com/typesense/typesense,C++,"Open Source alternative to Algolia + Pinecone and an Easier-to-Use alternative to ElasticSearch ⚡ 🔍 ✨ Fast, typo tolerant, in-memory fuzzy Search Engine for building delightful search experiences"
71,keepassxreboot/keepassxc,23991,https://github.com/keepassxreboot/keepassxc.git,https://github.com/keepassxreboot/keepassxc,C++,KeePassXC is a cross-platform community-driven port of the Windows application “Keepass Password Safe”.
72,redis/RedisDesktopManager,23166,https://github.com/redis/RedisDesktopManager.git,https://github.com/redis/RedisDesktopManager,C++,
73,PaddlePaddle/Paddle,23165,https://github.com/PaddlePaddle/Paddle.git,https://github.com/PaddlePaddle/Paddle,C++,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）
74,Mozilla-Ocho/llamafile,23014,https://github.com/Mozilla-Ocho/llamafile.git,https://github.com/Mozilla-Ocho/llamafile,C++,Distribute and run LLMs with a single file.
75,sqlitebrowser/sqlitebrowser,22834,https://github.com/sqlitebrowser/sqlitebrowser.git,https://github.com/sqlitebrowser/sqlitebrowser,C++,"Official home of the DB Browser for SQLite (DB4S) project. Previously known as ""SQLite Database Browser"" and ""Database Browser for SQLite"". Website at: "
76,osquery/osquery,22677,https://github.com/osquery/osquery.git,https://github.com/osquery/osquery,C++,"SQL powered operating system instrumentation, monitoring, and analytics."
