rank,full_name,stargazers_count,clone_url,html_url,language,description
32,xkcoding/spring-boot-demo,33858,https://github.com/xkcoding/spring-boot-demo.git,https://github.com/xkcoding/spring-boot-demo,Java,🚀一个用来深入学习并实战 Spring Boot 的项目。
33,Blankj/AndroidUtilCode,33621,https://github.com/Blankj/AndroidUtilCode.git,https://github.com/Blankj/AndroidUtilCode,Java,:fire: Android developers should collect the following utils(updating).
34,alibaba/easyexcel,33593,https://github.com/alibaba/easyexcel.git,https://github.com/alibaba/easyexcel,Java,快速、简洁、解决大文件内存溢出的java处理Excel工具
35,zxing/zxing,33544,https://github.com/zxing/zxing.git,https://github.com/zxing/zxing,Java,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android"
36,SeleniumHQ/selenium,33038,https://github.com/SeleniumHQ/selenium.git,https://github.com/SeleniumHQ/selenium,Java,A browser automation framework and ecosystem.
37,YunaiV/ruoyi-vue-pro,32972,https://github.com/YunaiV/ruoyi-vue-pro.git,https://github.com/YunaiV/ruoyi-vue-pro,Java,🔥 官方推荐 🔥 RuoYi-Vue 全新 Pro 版本，优化重构所有功能。基于 Spring Boot + MyBatis Plus + Vue & Element 实现的后台管理系统 + 微信小程序，支持 RBAC 动态权限、数据权限、SaaS 多租户、Flowable 工作流、三方登录、支付、短信、商城、CRM、ERP、AI 大模型等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！
38,alibaba/nacos,31985,https://github.com/alibaba/nacos.git,https://github.com/alibaba/nacos,Java,"an easy-to-use dynamic service discovery, configuration and service management platform for building AI cloud native applications."
39,binarywang/WxJava,31803,https://github.com/binarywang/WxJava.git,https://github.com/binarywang/WxJava,Java,微信开发 Java SDK ，支持包括微信支付，开放平台，小程序，企业微信，视频号，公众号等的后端开发
40,apache/kafka,30764,https://github.com/apache/kafka.git,https://github.com/apache/kafka,Java,Mirror of Apache Kafka
41,ityouknow/spring-boot-examples,30579,https://github.com/ityouknow/spring-boot-examples.git,https://github.com/ityouknow/spring-boot-examples,Java,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。 
