File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
../projects/casadi/casadi/core/dae_builder_internal.cpp,4332,7,3,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327).,Use a more secure technique for acquiring random values.,,CWE-327,      srand(::time(nullptr));  // NOLINT(runtime/threadsafe_fn),6479aa0cfcefd026624dcd93a80594682c10e837847854de0b50190d89e33e03,2.0.19,FF1048,https://cwe.mitre.org/data/definitions/327.html
../projects/casadi/casadi/core/sparsity_internal.cpp,1429,5,3,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327).,Use a more secure technique for acquiring random values.,,CWE-327,    srand(seed);,4dcf6cddd5b88d049b0ecee76506407e48261e47fe948abd338d6a4e76b9278d,2.0.19,FF1048,https://cwe.mitre.org/data/definitions/327.html
../projects/casadi/external_packages/CSparse/Source/cs_randperm.c,13,5,3,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327).,Use a more secure technique for acquiring random values.,,CWE-327,    srand (seed) ;                      /* get new random number seed */,476839c8250addc6db07192903600012a6c1e9897164b4998c509c6e8f7900c8,2.0.19,FF1048,https://cwe.mitre.org/data/definitions/327.html
